id,baseValueM5,baseValueM4,baseValueM3,baseValueM2,baseValueM1,baseValue,baseValueP1,baseValueP2,baseValueP3,baseValueP4,baseValueP5
1T,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1S,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1Lo,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
1Eu,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
1F,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
1Lz,-0.30,-0.24,-0.18,-0.12,-0.06,0.60,0.06,0.12,0.18,0.24,0.30
1Tq,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1Sq,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1Loq,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
1Fq,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
1Lzq,-0.30,-0.24,-0.18,-0.12,-0.06,0.60,0.06,0.12,0.18,0.24,0.30
1T<,-0.16,-0.13,-0.10,-0.06,-0.03,0.32,0.03,0.06,0.10,0.13,0.16
1S<,-0.16,-0.13,-0.10,-0.06,-0.03,0.32,0.03,0.06,0.10,0.13,0.16
1Lo<,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1F<,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1Lz<,-0.24,-0.19,-0.14,-0.10,-0.05,0.48,0.05,0.10,0.14,0.19,0.24
1T<<,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1S<<,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1Lo<<,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1Eu<<,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1F<<,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1Lz<<,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1Fe,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1Feq,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1Fe<,-0.15,-0.12,-0.09,-0.06,-0.03,0.30,0.03,0.06,0.09,0.12,0.15
1Fe<<,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1Lze,-0.24,-0.19,-0.14,-0.10,-0.05,0.48,0.05,0.10,0.14,0.19,0.24
1Lzeq,-0.24,-0.19,-0.14,-0.10,-0.05,0.48,0.05,0.10,0.14,0.19,0.24
1Lze<,-0.18,-0.14,-0.11,-0.07,-0.04,0.36,0.04,0.07,0.11,0.14,0.18
1Lze<<,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1F!,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
1F!q,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
1F!<,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
1F!<<,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1Lz!,-0.30,-0.24,-0.18,-0.12,-0.06,0.60,0.06,0.12,0.18,0.24,0.30
1Lz!q,-0.30,-0.24,-0.18,-0.12,-0.06,0.60,0.06,0.12,0.18,0.24,0.30
1Lz!<,-0.24,-0.19,-0.14,-0.10,-0.05,0.48,0.05,0.10,0.14,0.19,0.24
1Lz!<<,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1A,-0.55,-0.44,-0.33,-0.22,-0.11,1.10,0.11,0.22,0.33,0.44,0.55
2T,-0.65,-0.52,-0.39,-0.26,-0.13,1.30,0.13,0.26,0.39,0.52,0.65
2S,-0.65,-0.52,-0.39,-0.26,-0.13,1.30,0.13,0.26,0.39,0.52,0.65
2Lo,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
2F,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
2Lz,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
1Aq,-0.55,-0.44,-0.33,-0.22,-0.11,1.10,0.11,0.22,0.33,0.44,0.55
2Tq,-0.65,-0.52,-0.39,-0.26,-0.13,1.30,0.13,0.26,0.39,0.52,0.65
2Sq,-0.65,-0.52,-0.39,-0.26,-0.13,1.30,0.13,0.26,0.39,0.52,0.65
2Loq,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
2Fq,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
2Lzq,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
1A<,-0.44,-0.35,-0.26,-0.18,-0.09,0.88,0.09,0.18,0.26,0.35,0.44
2T<,-0.52,-0.42,-0.31,-0.21,-0.10,1.04,0.10,0.21,0.31,0.42,0.52
2S<,-0.52,-0.42,-0.31,-0.21,-0.10,1.04,0.10,0.21,0.31,0.42,0.52
2Lo<,-0.68,-0.54,-0.41,-0.27,-0.14,1.36,0.14,0.27,0.41,0.54,0.68
2F<,-0.72,-0.58,-0.43,-0.29,-0.14,1.44,0.14,0.29,0.43,0.58,0.72
2Lz<,-0.84,-0.67,-0.50,-0.34,-0.17,1.68,0.17,0.34,0.50,0.67,0.84
1A<<,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2T<<,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
2S<<,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
2Lo<<,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
2F<<,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
2Lz<<,-0.30,-0.24,-0.18,-0.12,-0.06,0.60,0.06,0.12,0.18,0.24,0.30
2Fe,-0.72,-0.58,-0.43,-0.29,-0.14,1.44,0.14,0.29,0.43,0.58,0.72
2Feq,-0.72,-0.58,-0.43,-0.29,-0.14,1.44,0.14,0.29,0.43,0.58,0.72
2Fe<,-0.54,-0.43,-0.32,-0.22,-0.11,1.08,0.11,0.22,0.32,0.43,0.54
2Fe<<,-0.20,-0.16,-0.12,-0.08,-0.04,0.40,0.04,0.08,0.12,0.16,0.20
2Lze,-0.84,-0.67,-0.50,-0.34,-0.17,1.68,0.17,0.34,0.50,0.67,0.84
2Lzeq,-0.84,-0.67,-0.50,-0.34,-0.17,1.68,0.17,0.34,0.50,0.67,0.84
2Lze<,-0.63,-0.50,-0.38,-0.25,-0.13,1.26,0.13,0.25,0.38,0.50,0.63
2Lze<<,-0.24,-0.19,-0.14,-0.10,-0.05,0.48,0.05,0.10,0.14,0.19,0.24
2F!,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
2F!q,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
2F!<,-0.72,-0.58,-0.43,-0.29,-0.14,1.44,0.14,0.29,0.43,0.58,0.72
2F!<<,-0.25,-0.20,-0.15,-0.10,-0.05,0.50,0.05,0.10,0.15,0.20,0.25
2Lz!,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
2Lz!q,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
2Lz!<,-0.84,-0.67,-0.50,-0.34,-0.17,1.68,0.17,0.34,0.50,0.67,0.84
2Lz!<<,-0.30,-0.24,-0.18,-0.12,-0.06,0.60,0.06,0.12,0.18,0.24,0.30
2A,-1.65,-1.32,-0.99,-0.66,-0.33,3.30,0.33,0.66,0.99,1.32,1.65
