id,elementIds
JumpAll,1T/1S/1Lo/1F/1Lz/1A/2T/2S/2Lo/2F/2Lz/2A/3T/3S/3Lo/3F/3Lz/3A/4T/4S/4Lo/4F/4Lz/4A
JumpTLo,1T/1Lo/2T/2Lo/3T/3Lo/4T/4Lo
JumpTLoEu,1T/1Lo/1Eu/2T/2Lo/3T/3Lo/4T/4Lo
Jump234,2T/2S/2Lo/2F/2Lz/2A/3T/3S/3Lo/3F/3Lz/3A/4T/4S/4Lo/4F/4Lz/4A
Jump34,3T/3S/3Lo/3F/3Lz/3A/4T/4S/4Lo/4F/4Lz/4A
Jump3,3T/3S/3Lo/3F/3Lz/3A
Jump3TLo,3T/3Lo
Jump23,2T/2S/2Lo/2F/2Lz/2A/3T/3S/3Lo/3F/3Lz/3A
Jump23Lz,2Lz/3Lz
Jump23TLo,2T/2Lo/3T/3Lo
Jump23A,2A/3A
Jump2A,2A
SpinOneposition,USpB/USp1/USp2/USp3/USp4/FUSpB/FUSp1/FUSp2/FUSp3/FUSp4/CUSpB/CUSp1/CUSp2/CUSp3/CUSp4/FCUSpB/FCUSp1/FCUSp2/FCUSp3/FCUSp4/FCUSp4/SSpB/SSp1/SSp2/SSp3/SSp4/FSSpB/FSSp1/FSSp2/FSSp3/FSSp4/CSSpB/CSSp1/CSSp2/CSSp3/CSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/FCSSp4/CSpB/CSp1/CSp2/CSp3/CSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/CCSpB/CCSp1/CCSp2/CCSp3/CCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/LSpB/LSp1/LSp2/LSp3/LSp4/FLSpB/FLSp1/FLSp2/FLSp3/FLSp4/CLSpB/CLSp1/CLSp2/CLSp3/CLSp4/FCLSpB/FCLSp1/FCLSp2/FCLSp3/FCLSp4
SpinOnepositionFlying,FUSpB/FUSp1/FUSp2/FUSp3/FUSp4/FSSpB/FSSp1/FSSp2/FSSp3/FSSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/FLSpB/FLSp1/FLSp2/FLSp3/FLSp4
SpinOnepositionCamelSitLayback,CSpB/CSp1/CSp2/CSp3/CSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/SSpB/SSp1/SSp2/SSp3/SSp4/FSSpB/FSSp1/FSSp2/FSSp3/FSSp4/LSpB/LSp1/LSp2/LSp3/LSp4/FLSpB/FLSp1/FLSp2/FLSp3/FLSp4
SpinOnepositionCamelSitLaybackNoflying,SSpB/SSp1/SSp2/SSp3/SSp4/CSpB/CSp1/CSp2/CSp3/CSp4/LSpB/LSp1/LSp2/LSp3/LSp4
SpinOnepositionCamelLayback,CSpB/CSp1/CSp2/CSp3/CSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/LSpB/LSp1/LSp2/LSp3/LSp4/FLSpB/FLSp1/FLSp2/FLSp3/FLSp4
SpinFlying,FUSpB/FUSp1/FUSp2/FUSp3/FUSp4/FCUSpB/FCUSp1/FCUSp2/FCUSp3/FCUSp4/FCUSp4/FSSpB/FSSp1/FSSp2/FSSp3/FSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/FCSSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/FLSpB/FLSp1/FLSp2/FLSp3/FLSp4/FCLSpB/FCLSp1/FCLSp2/FCLSp3/FCLSp4/FCoSpB/FCoSp1/FCoSp2/FCoSp3/FCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinCombination,CoSpB/CoSp1/CoSp2/CoSp3/CoSp4/FCoSpB/FCoSp1/FCoSp2/FCoSp3/FCoSp4/CCoSpB/CCoSp1/CCoSp2/CCoSp3/CCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinCombinationChangefoot,CCoSpB/CCoSp1/CCoSp2/CCoSp3/CCoSp4/FCCoSpB/FCCoSp1/FCCoSp2/FCCoSp3/FCCoSp4
SpinCombinationNoflying,CoSpB/CoSp1/CoSp2/CoSp3/CoSp4/CCoSpB/CCoSp1/CCoSp2/CCoSp3/CCoSp4
SpinCamel,CSpB/CSp1/CSp2/CSp3/CSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/CCSpB/CCSp1/CCSp2/CCSp3/CCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4
SpinCamelSit,CSpB/CSp1/CSp2/CSp3/CSp4/SSpB/SSp1/SSp2/SSp3/SSp4/FCSpB/FCSp1/FCSp2/FCSp3/FCSp4/FSSpB/FSSp1/FSSp2/FSSp3/FSSp4/CCSpB/CCSp1/CCSp2/CCSp3/CCSp4/FCCSpB/FCCSp1/FCCSp2/FCCSp3/FCCSp4/CSSpB/CSSp1/CSSp2/CSSp3/CSSp4/FCSSpB/FCSSp1/FCSSp2/FCSSp3/FCSSp4/FCSSp4
SpinCamelSitNoflying,CSpB/CSp1/CSp2/CSp3/CSp4/SSpB/SSp1/SSp2/SSp3/SSp4/CCSpB/CCSp1/CCSp2/CCSp3/CCSp4/CSSpB/CSSp1/CSSp2/CSSp3/CSSp4
SpinSitFlying,FSSpB/FSSp1/FSSp2/FSSp3/FSSp4
StepSequence,StSqB/StSq1/StSq2/StSq3/StSq4
ChoreographicSequence,ChSq1
