id,name,jump,elementPlaceableIds
Jump,ジャンプ,true,JumpAll
Jump2Combination,2連続ジャンプコンビネーション,true,JumpAll/JumpTLo
Jump3Combination,3連続ジャンプコンビネーション,true,JumpAll/JumpTLoEu/JumpAll
Jump2A,単独ダブルアクセルジャンプ,true,Jump2A
Jump23Lz,単独ルッツジャンプ,true,Jump23Lz
Jump23A,単独アクセルジャンプ,true,Jump23A
Jump34,単独3/4回転ジャンプ,true,Jump34
Jump3,単独3回転ジャンプ,true,Jump3
Jump23-33Combination,2+3/3+3回転ジャンプコンビネーション,true,Jump23/Jump3TLo
Jump23-33-42-43Combination,2+3/3+3/4+2/4+3回転ジャンプコンビネーション,true,Jump234/Jump23TLo
SpinOneposition,単一姿勢スピン,false,SpinOneposition
SpinOnepositionFlying,単一姿勢フライングスピン,false,SpinOnepositionFlying
SpinOnepositionCamelSitLayback,単一姿勢キャメル/シット/レイバックスピン,false,SpinOnepositionCamelSitLayback
SpinOnepositionCamelSitLaybackNoflying,単一姿勢フライングなしキャメル/シット/レイバックスピン,false,SpinOnepositionCamelSitLaybackNoflying
SpinOnepositionCamelLayback,単一姿勢キャメル/レイバックスピン,false,SpinCamelLaybackNoChangefoot
SpinFlying,フライングスピン,false,SpinFlying
SpinCombination,スピンコンビネーション,false,SpinCombination
SpinCombinationChangefoot,足替えスピンコンビネーション,false,SpinCombinationChangefoot
SpinCombinationNoflying,フライングなしスピンコンビネーション,false,SpinCombinationNoflying
SpinCamel,キャメルスピン,false,SpinCamel
SpinCamelSit,キャメル/シットスピン,false,SpinCamelSit
SpinCamelSitNoflying,フライングなしキャメル/シットスピン,false,SpinCamelSitNoflying
SpinSitFlying,フライングシットスピン,false,SpinSitFlying
StepSequence,ステップシークェンス,false,StepSequence
ChoreographicSequence,コレオグラフィックシークェンス,false,ChoreographicSequence
