id,description,group,minValue,maxValue,mark,targetElementIds
JumpM1,SP:要件を満たさないジャンプ要素の最終GOEは必ず,,-5,-5,,
JumpM2,転倒,,-5,-5,,
JumpM3,1ジャンプの着氷が両足,,-3,-4,,
JumpM4,1ジャンプの着氷でステップ・アウト,,-3,-4,,
JumpM5,ジャンプ間にスリー・ターン2回（ジャンプ・コンビネーション/シークェンス）,,-2,-3,,
JumpM6,ジャンプ・コンビネーションでジャンプ間にエッジが変わった,,-1,-2,,
JumpM7,F/Lzの踏み切りエッジが違う,Edge,-2,-4,e,F/2F/3F/4F/Lz/2Lz/3Lz/4Lz
JumpM8,F/Lzの踏み切りエッジが不明確,Edge,-1,-2,!,F/2F/3F/4F/Lz/2Lz/3Lz/4Lz
JumpM9,F/Lzの踏み切りエッジが不明確,Edge,-1,-1,,F/2F/3F/4F/Lz/2Lz/3Lz/4Lz
JumpM10,拙劣な踏み切り,,-2,-4,,
JumpM11,オイラーがステップ・オーバーになった,,-1,-2,,1Eu
JumpM12,ダウングレード判定,Rotate,-3,-4,<<,
JumpM13,回転不足判定,Rotate,-2,-3,<,1T/1S/1Lo/1F/1Lz/1A/2T/2S/2Lo/2F/2Lz/2A/3T/3S/3Lo/3F/3Lz/3A/4T/4S/4Lo/4F/4Lz/4A
JumpM14,1/4回転不足で着氷,Rotate,-2,-2,q,1T/1S/1Lo/1F/1Lz/1A/2T/2S/2Lo/2F/2Lz/2A/3T/3S/3Lo/3F/3Lz/3A/4T/4S/4Lo/4F/4Lz/4A
JumpM15,ジャンプのコンボ／シークェンスで複数の“q”,Rotate,-3,-4,,
JumpM16,1/4回転未満の不足,Rotate,-1,-1,,
JumpM17,スピード，高さ，距離，空中姿勢が拙劣,,-1,-3,,
JumpM18,1ジャンプで両手がタッチ・ダウン,,-2,-3,,
JumpM19,片手またはフリー・フットがタッチ・ダウン (ジャンプ間を含む),,-1,-2,,
JumpM20,ジャンプ間の流れが悪い／方向を失う／リズムが悪い(コンビネーション／シークェンス),,-1,-3,,
JumpM21,拙い着氷（悪い姿勢／まちがったエッジ引っかき等）,,-1,-3,,
JumpM22,⾧い構え,,-1,-3,,
SpinM1,転倒,,-5,-5,,
SpinM2,フリー・フットまたは片手／両手がタッチ・ダウン,,-1,-3,,
