id,name,shortName,lastJumpSpecialFactorCount,pcsFactor,programComponentRegulationId
NoviceBMenFreeSkating,«program-novice-b-men-free-skating»,«program-novice-b-men-free-skating-short»,0,3.33,NoviceBMenFreeSkating
NoviceBWomenFreeSkating,«program-novice-b-women-free-skating»,«program-novice-b-women-free-skating-short»,0,2.67,NoviceBWomenFreeSkating
NoviceAMenFreeSkating,«program-novice-a-men-free-skating»,«program-novice-a-men-free-skating-short»,2,3.33,NoviceAMenFreeSkating
NoviceAWomenFreeSkating,«program-novice-a-women-free-skating»,«program-novice-a-women-free-skating-short»,2,2.67,NoviceAWomenFreeSkating
JuniorMenFreeSkating,«program-junior-men-free-skating»,«program-junior-men-free-skating-short»,3,3.33,JuniorMenFreeSkating
JuniorMenShortProgram,«program-junior-men-short-program»,«program-junior-men-short-program-short»,1,1.67,JuniorMenShortProgram
JuniorWomenFreeSkating,«program-junior-women-free-skating»,«program-junior-women-free-skating-short»,3,2.67,JuniorWomenFreeSkating
JuniorWomenShortProgram,«program-junior-women-short-program»,«program-junior-women-short-program-short»,1,1.33,JuniorWomenShortProgram
SeniorMenFreeSkating,«program-senior-men-free-skating»,«program-senior-men-free-skating-short»,3,3.33,SeniorMenFreeSkating
SeniorMenShortProgram,«program-senior-men-short-program»,«program-senior-men-short-program-short»,1,1.67,SeniorMenShortProgram
SeniorWomenFreeSkating,«program-senior-women-free-skating»,«program-senior-women-free-skating-short»,3,2.67,SeniorWomenFreeSkating
SeniorWomenShortProgram,«program-senior-women-short-program»,«program-senior-women-short-program-short»,1,1.33,SeniorWomenShortProgram
